times,agents,alg,range
0.0923878,2,dfs,150
0.0711298,2,dfs,150
0.0868562,2,dfs,150
0.0973426,2,dfs,150
0.194254,2,dfs,150
0.07351,2,dfs,150
0.0603514,2,dfs,150
0.121592,2,dfs,150
0.0578465,2,dfs,150
0.096007,2,dfs,150
0.0531037,2,dfs,150
0.0637764,2,dfs,150
0.0339506,2,dfs,150
0.0493383,2,dfs,150
0.107035,2,dfs,150
0.205066,2,dfs,150
0.0440783,2,dfs,150
0.0654992,2,dfs,150
0.0549126,2,dfs,150
0.0589177,2,dfs,150
0.0765462,2,dfs,150
0.0669457,2,dfs,150
0.050887,2,dfs,150
0.191619,2,dfs,150
0.0759454,2,dfs,150
0.0629881,2,dfs,150
0.17874,2,dfs,150
0.118657,2,dfs,150
0.125311,2,dfs,150
0.0576641,2,dfs,150
0.0696974,2,dfs,150
0.0484451,2,dfs,150
0.0568641,2,dfs,150
0.0567208,2,astar,150
0.089338,2,astar,150
0.0837608,2,astar,150
0.0710265,2,astar,150
0.109102,2,astar,150
0.187815,2,astar,150
0.0962484,2,astar,150
0.0742985,2,astar,150
0.0683154,2,astar,150
0.43046,2,astar,150
0.0504778,2,astar,150
0.151525,2,astar,150
0.0610714,2,astar,150
0.0646204,2,astar,150
0.101661,2,astar,150
36.1512,2,astar,150
0.0577876,2,astar,150
0.984794,2,astar,150
0.0736744,2,astar,150
0.0879685,2,astar,150
0.10109,2,astar,150
0.227038,2,astar,150
0.073859,2,astar,150
0.0610535,2,astar,150
20.5392,2,astar,150
0.0604824,2,astar,150
2.8638,2,astar,150
0.0533442,2,astar,150
0.0654109,2,astar,150
0.0338454,2,astar,150
0.0481822,2,astar,150
0.108339,2,astar,150
3.47893,2,astar,150
0.0449763,2,astar,150
0.0661181,2,astar,150
0.0575741,2,astar,150
0.0589065,2,astar,150
0.0751354,2,astar,150
0.0677914,2,astar,150
0.0529094,2,astar,150
0.26398,2,astar,150
0.0771932,2,astar,150
0.0640086,2,astar,150
0.183775,2,astar,150
1.14432,2,astar,150
0.121718,2,astar,150
0.0650805,2,astar,150
0.069518,2,astar,150
0.0513541,2,astar,150
0.0665328,2,astar,150
3.01873,3,birk,50
3.68246,3,birk,50
3.20534,3,birk,50
300.0,3,birk,50
1.75253,3,birk,50
3.28179,3,birk,50
3.38233,3,birk,50
4.44309,3,birk,50
1.17083,3,birk,50
1.49673,3,birk,50
2.47018,3,birk,50
2.77421,3,birk,50
300.0,3,birk,50
3.35646,3,birk,50
300.0,3,birk,50
4.804,3,birk,50
2.63392,3,birk,50
5.46087,3,birk,50
300.0,3,birk,50
1.89542,3,birk,50
300.0,3,birk,50
3.2917,3,birk,50
2.65667,3,birk,50
3.1427,3,birk,50
3.9433,3,birk,50
3.85077,3,birk,50
3.03946,3,birk,50
5.10422,3,birk,50
4.5085,3,birk,50
300.0,3,birk,50
5.55076,3,birk,50
300.0,3,birk,50
3.33928,3,birk,50
300.0,3,birk,50
300.0,3,birk,50
300.0,3,birk,50
3.20607,3,birk,50
3.31322,3,birk,50
2.45572,3,birk,50
2.18326,3,birk,50
300.0,3,birk,50
1.95166,3,birk,50
3.94425,3,birk,50
2.70126,3,birk,50
3.88916,3,birk,50
2.62927,3,birk,50
5.3709,3,birk,50
3.29067,3,birk,50
1.8463,3,birk,50
4.13367,3,birk,50
0.121691,3,dfs,50
0.304491,3,dfs,50
0.0658926,3,dfs,50
0.105923,3,dfs,50
0.0502493,3,dfs,50
0.223689,3,dfs,50
0.065182,3,dfs,50
0.106613,3,dfs,50
0.0552378,3,dfs,50
0.0775312,3,dfs,50
0.0590824,3,dfs,50
0.0644551,3,dfs,50
1.60401,3,dfs,50
0.189118,3,dfs,50
0.18862,3,dfs,50
0.319488,3,dfs,50
0.0814712,3,dfs,50
0.154309,3,dfs,50
0.236721,3,dfs,50
0.0583293,3,dfs,50
0.20194,3,dfs,50
0.0734322,3,dfs,50
0.0728462,3,dfs,50
0.555426,3,dfs,50
0.196536,3,dfs,50
0.149345,3,dfs,50
0.0783038,3,dfs,50
0.178939,3,dfs,50
0.193274,3,dfs,50
0.302349,3,dfs,50
0.253497,3,dfs,50
1.24049,3,dfs,50
0.422828,3,dfs,50
0.196321,3,dfs,50
0.211792,3,dfs,50
0.19881,3,dfs,50
0.130509,3,dfs,50
0.133922,3,dfs,50
0.0764206,3,dfs,50
0.0541604,3,dfs,50
0.0781822,3,dfs,50
0.069122,3,dfs,50
0.092365,3,dfs,50
0.0537555,3,dfs,50
0.177432,3,dfs,50
0.0643605,3,dfs,50
0.153549,3,dfs,50
0.108941,3,dfs,50
0.184889,3,dfs,50
0.112328,3,dfs,50
0.12238,3,astar,50
9.72437,3,astar,50
0.068073,3,astar,50
0.107933,3,astar,50
0.0518256,3,astar,50
169.392,3,astar,50
0.0655035,3,astar,50
0.107686,3,astar,50
0.0404056,3,astar,50
0.0793944,3,astar,50
0.054031,3,astar,50
0.064738,3,astar,50
74.4625,3,astar,50
0.200698,3,astar,50
0.188056,3,astar,50
27.6674,3,astar,50
0.0735644,3,astar,50
0.15419,3,astar,50
300.0,3,astar,50
0.0584943,3,astar,50
300.0,3,astar,50
0.075933,3,astar,50
0.0748067,3,astar,50
5.96748,3,astar,50
21.7544,3,astar,50
0.140923,3,astar,50
0.0795674,3,astar,50
2.58568,3,astar,50
4.50248,3,astar,50
